human_entrez	human_symbol	cor_fib_1	cor_fib_2	mean_cor_fib	cor_esc_1	cor_esc_2	mean_cor_esc	mean_cor_fib_esc
6340	SCNN1G	0	0	0	0	0	0	0
1821	DRP2	1	1	1	-0.5	-1	-0.75	0.125
10077	TSPAN32	0.5	0.5	0.5	-0.5	-0.5	-0.5	0
9355	LHX2	-1	-1	-1	0.5	-0.5	0	-0.5
29121	CLEC2D	1	0.5	0.75	1	-1	0	0.375
2766	GMPR	1	0.5	0.75	-1	-1	-1	-0.125
2741	GLRA1	0	0	0	0	-1	-0.5	-0.25
11043	MID2	-0.5	-1	-0.75	0.5	-1	-0.25	-0.5
7706	TRIM25	0.5	-0.5	0	1	0.5	0.75	0.375
8526	DGKE	-1	-1	-1	0.5	-0.5	0	-0.5
59342	SCPEP1	-1	-0.5	-0.75	1	1	1	0.125
4335	MNT	0.5	-0.5	0	0.5	-1	-0.25	-0.125
51020	HDDC2	1	1	1	-0.5	0.5	0	0.5
7164	TPD52L1	-1	-1	-1	-1	-1	-1	-1
10400	PEMT	1	0.5	0.75	0.5	-0.5	0	0.375
999	CDH1	-0.5	-1	-0.75	-0.5	-0.5	-0.5	-0.625
1002	CDH4	-0.866025403784439	1	0.0669872981077806	0.5	1	0.75	0.40849364905389
1159	CKMT1B	-0.866025403784439	-1	-0.933012701892219	-1	-1	-1	-0.96650635094611
255877	BCL6B	-1	0.5	-0.25	0.5	-0.5	0	-0.125
10462	CLEC10A	-1	-0.5	-0.75	1	0.5	0.75	0
239	ALOX12	0.5	1	0.75	-0.5	0.5	0	0.375
421	ARVCF	-1	-1	-1	-0.5	0.5	0	-0.5
1312	COMT	-1	-0.5	-0.75	-1	-1	-1	-0.875
8634	RTCA	0.5	1	0.75	1	1	1	0.875
1629	DBT	1	1	1	-1	-0.5	-0.75	0.125
9802	DAZAP2	1	1	1	-1	1	0	0.5
28985	MCTS1	1	0.5	0.75	-0.5	-1	-0.75	0
28954	REM1	1	1	1	0.5	-1	-0.25	0.375
56163	RNF17	-0.866025403784439	0	-0.433012701892219	-0.5	-1	-0.75	-0.59150635094611
83605	CCM2	-1	-1	-1	0.5	0.5	0.5	-0.25
9238	TBRG4	1	1	1	-1	0.5	-0.25	0.375
7113	TMPRSS2	0	0	0	-0.866025403784439	-0.866025403784439	-0.866025403784439	-0.433012701892219
4599	MX1	-1	-1	-1	0.5	0.5	0.5	-0.25
2191	FAP	1	0.5	0.75	0.5	0.5	0.5	0.625
2641	GCG	0.866025403784439	0	0.433012701892219	0	0.866025403784439	0.433012701892219	0.433012701892219
4704	NDUFA9	0.5	-0.5	0	-0.5	-0.5	-0.5	-0.25
25975	EGFL6	-1	0.5	-0.25	-1	0.5	-0.25	-0.25
3932	LCK	-0.5	-1	-0.75	1	1	1	0.125
81629	TSSK3	-0.5	0	-0.25	-0.5	-1	-0.75	-0.5
83992	CTTNBP2	0.866025403784439	0	0.433012701892219	0.5	-1	-0.25	0.0915063509461097
2589	GALNT1	0.5	0.5	0.5	1	0.5	0.75	0.625
4617	MYF5	-0.866025403784439	-0.5	-0.683012701892219	0	0	0	-0.34150635094611
23609	MKRN2	-0.5	-1	-0.75	-0.5	0.5	0	-0.375
5468	PPARG	1	1	1	0	0	0	0.5
5894	RAF1	-1	-1	-1	-1	1	0	-0.5
1731	SEPTIN1	1	0.5	0.75	-1	-0.5	-0.75	0
5155	PDGFB	1	1	1	-0.5	-0.5	-0.5	0.25
94	ACVRL1	1	1	1	-0.5	-0.5	-0.5	0.25
160622	GRASP	1	1	1	-1	-0.5	-0.75	0.125
91	ACVR1B	1	1	1	-1	-1	-1	0
146691	TOM1L2	-1	-1	-1	-1	-1	-1	-1
10223	GPA33	0	0	0	-1	-0.5	-0.75	-0.375
25946	ZNF385A	1	1	1	-1	-0.5	-0.75	0.125
3678	ITGA5	1	1	1	0.5	0.5	0.5	0.75
2555	GABRA2	0	0	0	0	0	0	0
79084	WDR77	1	1	1	1	1	1	1
140	ADORA3	1	-1	0	0.5	0.5	0.5	0.25
515	ATP5PB	1	1	1	-1	1	0	0.5
6662	SOX9	-0.5	0.5	0	0.5	0.5	0.5	0.25
3184	HNRNPD	1	1	1	1	1	1	1
6993	DYNLT1	1	1	1	-1	0.5	-0.25	0.375
10438	C1D	-1	0.5	-0.25	1	1	1	0.375
2760	GM2A	1	0.5	0.75	-0.5	1	0.25	0.5
1183	CLCN4	1	1	1	0.5	-0.5	0	0.5
2916	GRM6	1	-1	0	-0.866025403784439	0.866025403784439	0	0
10505	SEMA4F	-0.5	-0.5	-0.5	-0.5	-1	-0.75	-0.625
3099	HK2	0.5	0.5	0.5	-0.5	0.5	0	0.25
399687	MYO18A	1	1	1	-1	-1	-1	0
124925	SEZ6	1	-0.5	0.25	-1	-0.5	-0.75	-0.25
23498	HAAO	1	-1	0	1	0.5	0.75	0.375
1043	CD52	0	0	0	-0.5	-0.5	-0.5	-0.25
116236	ABHD15	-0.5	-1	-0.75	0.5	0.5	0.5	-0.125
3216	HOXB6	-0.5	-1	-0.75	0	0.866025403784439	0.433012701892219	-0.15849364905389
84695	LOXL3	1	1	1	-0.5	-0.5	-0.5	0.25
9623	TCL1B	-0.866025403784439	0.866025403784439	0	-1	-0.5	-0.75	-0.375
696	BTN1A1	0.5	0.5	0.5	-0.5	1	0.25	0.375
8850	KAT2B	-1	-1	-1	0.5	0.5	0.5	-0.25
5869	RAB5B	-0.5	-0.5	-0.5	-1	-0.5	-0.75	-0.625
1411	CRYBA1	-0.5	0.5	0	0.5	0.5	0.5	0.25
326	AIRE	-0.5	-1	-0.75	-1	-1	-1	-0.875
102723996	FP565260.3	-1	-1	-1	-0.5	-0.5	-0.5	-0.75
6687	SPG7	-1	-1	-1	-1	-1	-1	-1
6818	SULT1A3	-0.5	0	-0.25	1	0.5	0.75	0.25
6137	RPL13	1	1	1	-1	-0.5	-0.75	0.125
5119	CHMP1A	-1	-0.5	-0.75	-1	-0.5	-0.75	-0.75
6117	RPA1	-1	-1	-1	1	1	1	0
5176	SERPINF1	-1	-0.5	-0.75	1	1	1	0.125
10426	TUBGCP3	-1	-1	-1	0.5	0.5	0.5	-0.25
4988	OPRM1	0.5	0	0.25	0.866025403784439	0.5	0.683012701892219	0.46650635094611
661	POLR3D	1	1	1	-1	-0.5	-0.75	0.125
6932	TCF7	1	1	1	1	0.5	0.75	0.875
1654	DDX3X	1	0.5	0.75	1	0.5	0.75	0.75
3594	IL12RB1	1	1	1	-0.5	0.5	0	0.5
6528	SLC5A5	1	-0.5	0.25	1	-0.5	0.25	0.25
3782	KCNN3	1	1	1	-1	-0.5	-0.75	0.125
9098	USP6	-0.5	-0.5	-0.5	-1	-0.5	-0.75	-0.625
762	CA4	0	0	0	0	0	0	0
114112	TXNRD3	0.5	-1	-0.25	-0.5	0.5	0	-0.125
356	FASLG	0	0	0	0	-0.5	-0.25	-0.125
57473	ZNF512B	-1	-1	-1	-1	-1	-1	-1
80331	DNAJC5	-0.5	-0.5	-0.5	-1	0.5	-0.25	-0.375
7165	TPD52L2	-1	-0.5	-0.75	-0.5	1	0.25	-0.25
2332	FMR1	1	0.5	0.75	1	0.5	0.75	0.75
53335	BCL11A	-1	-1	-1	0.5	0.5	0.5	-0.25
3565	IL4	-0.5	1	0.25	0.5	1	0.75	0.5
11264	PXMP4	-1	-1	-1	1	-0.5	0.25	-0.375
1741	DLG3	0.5	1	0.75	1	0.5	0.75	0.75
54584	GNB1L	-0.5	-1	-0.75	-1	-0.5	-0.75	-0.75
1621	DBH	0	0	0	0	0.866025403784439	0.433012701892219	0.21650635094611
4320	MMP11	1	0.5	0.75	-1	-1	-1	-0.125
6598	SMARCB1	1	1	1	-1	1	0	0.5
29802	VPREB3	0	0	0	0.5	-0.5	0	0
9026	HIP1R	-1	-1	-1	-0.5	-1	-0.75	-0.875
55695	NSUN5	0.5	1	0.75	1	-0.5	0.25	0.5
116447	TOP1MT	0.5	1	0.75	-1	-0.5	-0.75	0
3206	HOXA10	-1	-1	-1	-1	-0.5	-0.75	-0.875
3201	HOXA4	-1	-0.5	-0.75	-1	-1	-1	-0.875
8926	SNURF	0.5	1	0.75	1	-0.5	0.25	0.5
4323	MMP14	-0.5	-0.5	-0.5	-0.5	1	0.25	-0.125
9056	SLC7A7	0.866025403784439	0	0.433012701892219	-0.5	-1	-0.75	-0.15849364905389
5018	OXA1L	1	0.5	0.75	-1	1	0	0.375
63897	HEATR6	0.5	0.5	0.5	0.5	1	0.75	0.625
6362	CCL18	0	0	0	0	-0.866025403784439	-0.433012701892219	-0.21650635094611
3386	ICAM4	0.5	1	0.75	0.5	0.5	0.5	0.625
3608	ILF2	0.5	1	0.75	1	0.5	0.75	0.75
26097	CHTOP	0.5	0.5	0.5	-0.5	1	0.25	0.375
23557	SNAPIN	0.5	-0.5	0	-0.5	-0.5	-0.5	-0.25
6275	S100A4	1	1	1	0.5	0.5	0.5	0.75
6274	S100A3	-0.5	0.5	0	0.866025403784439	0	0.433012701892219	0.21650635094611
6276	S100A5	0.5	0.5	0.5	0	0	0	0.25
6277	S100A6	1	1	1	-1	-0.5	-0.75	0.125
6329	SCN4A	1	-0.5	0.25	0.5	-0.5	0	0.125
3384	ICAM2	0	0	0	-0.5	-0.5	-0.5	-0.25
5598	MAPK7	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
22905	EPN2	-1	-1	-1	-1	-0.5	-0.75	-0.875
27077	B9D1	1	0.5	0.75	-1	0.5	-0.25	0.25
10427	SEC24B	0.5	-0.5	0	-0.5	-1	-0.75	-0.375
23138	N4BP3	-0.5	-1	-0.75	-0.5	0.5	0	-0.375
64777	RMND5B	-1	-1	-1	-1	-0.5	-0.75	-0.875
55651	NHP2	1	0.5	0.75	1	0.5	0.75	0.75
9605	VPS9D1	0.5	-0.5	0	-1	-0.5	-0.75	-0.375
92822	ZNF276	-1	-0.5	-0.75	-1	-1	-1	-0.875
338761	C1QL4	0	0	0	-0.5	0.5	0	0
10227	MFSD10	-0.5	-0.5	-0.5	-0.5	0.5	0	-0.25
7798	LUZP1	-1	-1	-1	0.5	-0.5	0	-0.5
9058	SLC13A2	0	0	0	-1	1	0	0
83892	KCTD10	-1	-0.5	-0.75	-1	0.5	-0.25	-0.5
26073	POLDIP2	1	1	1	-0.5	0.5	0	0.5
645832	SEBOX	0	0	0	0	0	0	0
90410	IFT20	1	1	1	0.5	0.5	0.5	0.75
1291	COL6A1	0.5	0.5	0.5	0.5	1	0.75	0.625
54039	PCBP3	0.5	0.5	0.5	-1	-0.5	-0.75	-0.125
29124	LGALS13	-1	-1	-1	-1	-1	-1	-1
369	ARAF	-0.5	-1	-0.75	-1	-0.5	-0.75	-0.75
5199	CFP	1	-0.5	0.25	-1	-0.5	-0.75	-0.25
7076	TIMP1	1	1	1	-0.5	0.5	0	0.5
8409	UXT	0.5	0.5	0.5	-0.5	1	0.25	0.375
26505	CNNM3	-1	-1	-1	-0.5	-0.5	-0.5	-0.75
81562	LMAN2L	0.5	0.5	0.5	-1	1	0	0.25
8888	MCM3AP	0.5	1	0.75	0.5	-1	-0.25	0.25
5116	PCNT	-1	-0.5	-0.75	0.5	1	0.75	0
10841	FTCD	0.5	0.5	0.5	-0.5	0.5	0	0.25
4084	MXD1	-1	-1	-1	-1	-1	-1	-1
64396	GMCL2	-1	-1	-1	0.5	1	0.75	-0.125
11017	SNRNP27	-1	-1	-1	-0.5	0.5	0	-0.5
4938	OAS1	-1	-1	-1	-1	-1	-1	-1
4952	OCRL	1	-0.5	0.25	1	-0.5	0.25	0.25
801	CALM1	0.5	1	0.75	1	1	1	0.875
56894	AGPAT3	1	1	1	1	0.5	0.75	0.875
1811	SLC26A3	0.5	-0.5	0	-0.5	-0.5	-0.5	-0.25
10501	SEMA6B	1	0.5	0.75	-0.5	-0.5	-0.5	0.125
29128	UHRF1	-0.5	-0.5	-0.5	1	1	1	0.25
91039	DPP9	1	1	1	1	0.5	0.75	0.875
10266	RAMP2	0.5	1	0.75	-0.5	-1	-0.75	0
51599	LSR	0	0.5	0.25	-0.5	-0.5	-0.5	-0.125
57655	GRAMD1A	1	1	1	-1	-1	-1	0
3249	HPN	0.5	-0.5	0	-1	-0.5	-0.75	-0.375
2565	GABRG1	0	0	0	0	0.866025403784439	0.433012701892219	0.21650635094611
1152	CKB	-0.5	-1	-0.75	-1	-0.5	-0.75	-0.75
6667	SP1	-0.5	-0.5	-0.5	-1	-1	-1	-0.75
3695	ITGB7	0.5	1	0.75	0.5	-0.5	0	0.375
60314	C12orf10	1	0.5	0.75	0.5	0.5	0.5	0.625
5916	RARG	1	0.5	0.75	-1	-0.5	-0.75	0
5204	PFDN5	1	1	1	-1	-0.5	-0.75	0.125
1948	EFNB2	-1	-1	-1	0.5	0.5	0.5	-0.25
51018	RRP15	1	1	1	1	1	1	1
8153	RND2	0.5	0.5	0.5	0.5	1	0.75	0.625
63826	SRR	0.5	-0.5	0	-1	-0.5	-0.75	-0.375
81493	SYNC	0.5	0.5	0.5	-0.5	-0.5	-0.5	0
252995	FNDC5	-0.5	-0.5	-0.5	-0.5	-1	-0.75	-0.625
54	ACP5	0.5	-1	-0.25	-0.5	-0.5	-0.5	-0.375
1264	CNN1	1	1	1	-1	-1	-1	0
26268	FBXO9	-1	-0.5	-0.75	-0.5	0.5	0	-0.375
55610	VPS50	1	-1	0	1	-1	0	0
3035	HARS1	1	1	1	-0.5	0.5	0	0.5
153527	ZMAT2	1	0.5	0.75	-1	0.5	-0.25	0.25
11065	UBE2C	-1	-1	-1	-1	1	0	-0.5
23381	SMG5	-0.5	-0.5	-0.5	-0.5	0.5	0	-0.25
7203	CCT3	1	1	1	1	1	1	1
112770	GLMP	1	0.5	0.75	-1	-0.5	-0.75	0
4209	MEF2D	1	1	1	-0.5	0.5	0	0.5
84283	TMEM79	0.5	0.5	0.5	1	0.5	0.75	0.625
27044	SND1	0.5	0.5	0.5	0.5	-0.5	0	0.25
80781	COL18A1	1	1	1	1	-0.5	0.25	0.625
6573	SLC19A1	1	1	1	-1	0.5	-0.25	0.375
3837	KPNB1	0.5	0.5	0.5	1	0.5	0.75	0.625
9520	NPEPPS	1	0.5	0.75	0.5	-0.5	0	0.375
30009	TBX21	0	0	0	0.5	0.5	0.5	0.25
124995	MRPL10	-1	0.5	-0.25	0.5	0.5	0.5	0.125
1595	CYP51A1	1	1	1	1	1	1	1
22980	TCF25	-1	-1	-1	-1	-1	-1	-1
84617	TUBB6	-1	-1	-1	0.5	1	0.75	-0.125
54849	DEF8	-1	1	0	-1	-0.5	-0.75	-0.375
4222	MEOX1	1	0.5	0.75	0.5	0	0.25	0.5
50964	SOST	0	0	0	1	0.5	0.75	0.375
7080	NKX2-1	-0.5	0.5	0	0	0.5	0.25	0.125
5083	PAX9	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
153572	IRX2	1	-0.5	0.25	1	0.5	0.75	0.5
1277	COL1A1	-1	-0.5	-0.75	0.5	0.5	0.5	-0.125
3675	ITGA3	0.5	0.5	0.5	-0.5	-0.5	-0.5	0
6442	SGCA	-0.5	-0.5	-0.5	0.5	1	0.75	0.125
1747	DLX3	0.5	-0.5	0	0.5	1	0.75	0.375
2305	FOXM1	-1	-0.5	-0.75	-0.5	1	0.25	-0.25
55846	ITFG2	-0.5	-1	-0.75	-1	-1	-1	-0.875
83714	NRIP2	-1	-1	-1	0.5	-1	-0.25	-0.625
7289	TULP3	-1	-1	-1	-1	-0.5	-0.75	-0.875
2968	GTF2H4	1	1	1	1	1	1	1
203068	TUBB	-1	-1	-1	-1	0.5	-0.25	-0.625
22936	ELL2	-1	-1	-1	-0.5	-1	-0.75	-0.875
3728	JUP	-1	-1	-1	0.5	1	0.75	-0.125
60681	FKBP10	1	0.5	0.75	-0.5	0.5	0	0.375
317719	KLHL10	0.5	0.5	0.5	-0.5	0.5	0	0.25
3110	MNX1	0	0	0	1	-0.5	0.25	0.125
64434	NOM1	1	1	1	0.5	1	0.75	0.875
57222	ERGIC1	1	1	1	-1	-1	-1	0
8711	TNK1	0.5	-0.5	0	-1	-1	-1	-0.5
9744	ACAP1	0.5	-1	-0.25	-1	-0.5	-0.75	-0.5
6920	TCEA3	0.5	0.5	0.5	-0.5	-0.5	-0.5	0
1448	CSN3	1	-0.5	0.25	1	0.5	0.75	0.5
3475	IFRD1	-0.5	-1	-0.75	1	0.5	0.75	0
23012	STK38L	-1	-1	-1	-1	-0.5	-0.75	-0.875
7862	BRPF1	-0.5	-1	-0.75	-0.5	-0.5	-0.5	-0.625
231	AKR1B1	1	1	1	-0.5	0.5	0	0.5
3229	HOXC13	1	1	1	-1	-0.5	-0.75	0.125
3227	HOXC11	1	0.5	0.75	-0.5	-1	-0.75	0
3224	HOXC8	0.5	0.5	0.5	0.5	-0.5	0	0.25
3223	HOXC6	1	0.5	0.75	-1	-0.5	-0.75	0
1652	DDT	1	1	1	-0.5	0.5	0	0.5
6898	TAT	0	0	0	0	0.866025403784439	0.433012701892219	0.21650635094611
91862	MARVELD3	-1	-1	-1	-1	-1	-1	-1
8886	DDX18	1	1	1	1	1	1	1
5412	UBL3	-0.5	1	0.25	-0.5	-0.5	-0.5	-0.125
65983	GRAMD2B	-0.5	-0.5	-0.5	-0.5	-1	-0.75	-0.625
9521	EEF1E1	0.5	0.5	0.5	0.5	1	0.75	0.625
207	AKT1	-0.5	0.5	0	1	0.5	0.75	0.375
24146	CLDN15	0.5	1	0.75	1	0.5	0.75	0.75
3603	IL16	-0.5	0.5	0	-0.5	1	0.25	0.125
10312	TCIRG1	1	1	1	-1	-0.5	-0.75	0.125
4669	NAGLU	-1	-1	-1	0.5	-1	-0.25	-0.625
80347	COASY	0.5	0.5	0.5	-1	0.5	-0.25	0.125
6608	SMO	0.5	0.5	0.5	-1	-1	-1	-0.25
340348	TSPAN33	-1	-1	-1	0.5	-0.5	0	-0.5
51340	CRNKL1	0.5	0.5	0.5	1	0.5	0.75	0.625
54453	RIN2	-0.5	-0.5	-0.5	-1	-1	-1	-0.75
2346	FOLH1	0	0	0	0.5	-1	-0.25	-0.125
26973	CHORDC1	-1	-0.5	-0.75	1	0.5	0.75	0
51493	RTCB	1	1	1	0.5	0.5	0.5	0.75
11137	PWP1	1	1	1	1	1	1	1
25793	FBXO7	-1	-1	-1	-0.5	-0.5	-0.5	-0.75
826	CAPNS1	0.5	1	0.75	-0.5	-0.5	-0.5	0.125
4037	LRP3	1	1	1	0.5	-1	-0.25	0.375
147409	DSG4	0	0	0	0	0	0	0
344191	EVX2	0	0	0	0	0.5	0.25	0.125
3239	HOXD13	0	0	0	1	0.5	0.75	0.375
3238	HOXD12	0	0	0	0	-0.5	-0.25	-0.125
2348	FOLR1	0.5	0.5	0.5	-1	-1	-1	-0.25
81570	CLPB	1	1	1	-1	-0.5	-0.75	0.125
989	SEPTIN7	-1	-1	-1	1	0.5	0.75	-0.125
55146	ZDHHC4	0.5	-0.5	0	-0.5	-0.5	-0.5	-0.25
5879	RAC1	1	1	1	1	0.5	0.75	0.875
8021	NUP214	1	0.5	0.75	0.5	-0.5	0	0.375
83543	AIF1L	-0.5	0.5	0	1	1	1	0.5
1359	CPA3	0	0	0	-0.866025403784439	0	-0.433012701892219	-0.21650635094611
4052	LTBP1	-1	0.5	-0.25	-1	-0.5	-0.75	-0.5
7360	UGP2	1	1	1	1	1	1	1
81033	KCNH6	0	0	0	-1	-1	-1	-0.5
55621	TRMT1	0.5	-0.5	0	-1	-1	-1	-0.5
112939	NACC1	-1	1	0	1	1	1	0.5
4784	NFIX	-1	-0.5	-0.75	-0.5	-1	-0.75	-0.75
6510	SLC1A5	1	1	1	1	1	1	1
7317	UBA1	1	1	1	1	0.5	0.75	0.875
7450	VWF	-1	-0.5	-0.75	-1	-1	-1	-0.875
54414	SIAE	-1	-1	-1	-0.5	-0.5	-0.5	-0.75
23584	VSIG2	0	0.866025403784439	0.433012701892219	1	-1	0	0.21650635094611
90952	ESAM	-1	-1	-1	1	-0.5	0.25	-0.375
53340	SPA17	0.5	0.5	0.5	-0.5	-0.5	-0.5	0
9130	FAM50A	1	0.5	0.75	-1	-0.5	-0.75	0
2010	EMD	1	1	1	0.5	1	0.75	0.875
51204	TACO1	0.5	-0.5	0	-1	1	0	0
2899	GRIK3	-1	-0.5	-0.75	-1	-1	-1	-0.875
2892	GRIA3	1	1	1	-1	-1	-1	0
4861	NPAS1	0	0	0	0.866025403784439	-0.5	0.183012701892219	0.0915063509461097
57568	SIPA1L2	1	0.5	0.75	-1	-1	-1	-0.125
23431	AP4E1	-1	-1	-1	-0.5	-0.5	-0.5	-0.75
644	BLVRA	-0.5	-0.5	-0.5	-0.5	1	0.25	-0.125
57595	PDZD4	-1	-1	-1	1	1	1	0
26576	SRPK3	0.5	-0.5	0	-1	0.5	-0.25	-0.125
3421	IDH3G	1	1	1	-1	-0.5	-0.75	0.125
139728	PNCK	-0.866025403784439	-0.5	-0.683012701892219	-0.5	-1	-0.75	-0.71650635094611
6748	SSR4	1	0.5	0.75	-1	-0.5	-0.75	0
10134	BCAP31	1	1	1	-1	1	0	0.5
25940	FAM98A	1	0.5	0.75	1	0.5	0.75	0.75
4053	LTBP2	-1	-0.5	-0.75	-1	-0.5	-0.75	-0.75
4297	KMT2A	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
56912	IFT46	-1	-1	-1	-1	-1	-1	-1
84866	TMEM25	-1	-1	-1	0.5	1	0.75	-0.125
917	CD3G	0	0	0	-0.5	0.5	0	0
79090	TRAPPC6A	-1	-1	-1	-1	-0.5	-0.75	-0.875
6830	SUPT6H	0.5	1	0.75	1	0.5	0.75	0.75
10615	SPAG5	-1	-0.5	-0.75	-0.5	1	0.25	-0.25
8456	FOXN1	-0.5	-1	-0.75	1	-0.5	0.25	-0.25
9094	UNC119	1	1	1	-0.5	-0.5	-0.5	0.25
83871	RAB34	0.5	1	0.75	-0.5	0.5	0	0.375
6388	SDF2	0.5	1	0.75	-1	0.5	-0.25	0.25
898	CCNE1	-1	-1	-1	1	1	1	0
11077	HSF2BP	1	0.5	0.75	-0.5	1	0.25	0.5
4607	MYBPC3	0	0	0	-0.5	-1	-0.75	-0.375
5702	PSMC3	0.5	1	0.75	1	0.5	0.75	0.75
53	ACP2	-0.5	-1	-0.75	1	-0.5	0.25	-0.25
5913	RAPSN	-0.5	-0.5	-0.5	-0.5	0.5	0	-0.25
91252	SLC39A13	-1	-0.5	-0.75	-1	-1	-1	-0.875
10659	CELF2	-1	-1	-1	-1	-1	-1	-1
10062	NR1H3	1	1	1	1	0.5	0.75	0.875
1643	DDB2	1	-1	0	-1	-1	-1	-0.5
6688	SPI1	-1	0.866025403784439	-0.0669872981077806	-0.5	-0.5	-0.5	-0.28349364905389
10291	SF3A1	1	1	1	1	1	1	1
6778	STAT6	1	0.5	0.75	-0.5	-0.5	-0.5	0.125
1047	CLGN	0	0	0	0.5	-0.5	0	0
9476	NAPSA	0.5	0.5	0.5	-1	1	0	0.25
51231	VRK3	0.5	1	0.75	-1	0.5	-0.25	0.25
56006	SMG9	-1	-1	-1	-0.5	0.5	0	-0.5
22976	PAXIP1	-1	-0.5	-0.75	1	1	1	0.125
64795	RMND5A	-1	-1	-1	1	0.5	0.75	-0.125
4343	MOV10	1	1	1	1	0.5	0.75	0.875
333926	PPM1J	1	1	1	-1	-0.5	-0.75	0.125
389	RHOC	1	0.5	0.75	-1	-0.5	-0.75	0
401137	PRR27	0	0	0	0	0	0	0
7005	TEAD3	-1	-1	-1	-0.5	-1	-0.75	-0.875
5467	PPARD	1	1	1	-1	-1	-1	0
50619	DEF6	0.5	-1	-0.25	-1	-0.5	-0.75	-0.5
5178	PEG3	0.5	-0.5	0	1	0.5	0.75	0.375
79006	METRN	0.5	1	0.75	1	0.5	0.75	0.75
64788	LMF1	0.5	0.5	0.5	-0.5	-1	-0.75	-0.125
64428	CIAO3	0.5	0.5	0.5	-1	-1	-1	-0.25
51129	ANGPTL4	1	1	1	-0.5	1	0.25	0.625
10926	DBF4	-0.5	-0.5	-0.5	1	1	1	0.25
1616	DAXX	0.5	1	0.75	0.5	1	0.75	0.75
51293	CD320	1	1	1	0.5	1	0.75	0.875
79711	IPO4	1	1	1	-0.5	1	0.25	0.625
9985	REC8	-1	0.5	-0.25	-1	-1	-1	-0.625
10379	IRF9	-1	-1	-1	-1	-1	-1	-1
51292	GMPR2	0.5	-0.5	0	-0.5	0.5	0	0
115817	DHRS1	-0.5	-0.5	-0.5	0.5	1	0.75	0.125
1463	NCAN	0.5	-0.5	0	-0.5	-1	-0.75	-0.375
54929	TMEM161A	-1	-1	-1	-1	1	0	-0.5
93436	ARMC6	-0.5	-1	-0.75	-1	0.5	-0.25	-0.5
729991	BORCS8	0.5	0.5	0.5	1	-0.5	0.25	0.375
284439	SLC25A42	0.5	-1	-0.25	-1	-1	-1	-0.625
51429	SNX9	0.5	1	0.75	0.5	0.5	0.5	0.625
8498	RANBP3	0.5	1	0.75	-1	-0.5	-0.75	0
2063	NR2F6	-1	-0.5	-0.75	-0.5	1	0.25	-0.25
55850	USE1	0.5	0.5	0.5	-1	0.5	-0.25	0.125
79629	OCEL1	1	0.5	0.75	1	1	1	0.875
9149	DYRK1B	0.5	0.5	0.5	-1	-1	-1	-0.25
