Array Design Name	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Comment[AdditionalFile:CDF]	YG_S98.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-27
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	glass
Term Source Name	The MGED Ontology	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	interpro	locus	mgd	pfam	pkr_hanks	refseq	scop	sgd	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Protein	http://www.ebi.ac.uk/interpro	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www.informatics.jax.org/	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version																	
Comment[AdditionalFile:txt]	A-AFFY-27_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[swall]	Composite Element Database Entry[scop]	Composite Element Database Entry[refseq]	Composite Element Database Entry[pfam]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[mgd]	Composite Element Database Entry[locus]	Composite Element Database Entry[interpro]	Composite Element Database Entry[blocks]	Composite Element Database Entry[ec]	Composite Element Database Entry[entrez_protein]	Composite Element Database Entry[unigene]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
AFFX-LysX-M_at	X17013					AFFX-LysX-M_at											
AFFX-LysX-3_at	X17013					AFFX-LysX-3_at											
AFFX-PheX-5_at	M24537					AFFX-PheX-5_at											
AFFX-PheX-M_at	M24537					AFFX-PheX-M_at											
AFFX-PheX-3_at	M24537					AFFX-PheX-3_at											
AFFX-ThrX-5_at	X04603					AFFX-ThrX-5_at											
AFFX-ThrX-M_at	X04603					AFFX-ThrX-M_at											
AFFX-ThrX-3_at	X04603					AFFX-ThrX-3_at											
AFFX-TrpnX-5_at	K01391					AFFX-TrpnX-5_at											
AFFX-TrpnX-M_at	K01391					AFFX-TrpnX-M_at											
AFFX-TrpnX-3_at	K01391					AFFX-TrpnX-3_at											
AFFX-YFL039C5_at	V01288					AFFX-YFL039C5_at											
AFFX-YFL039CM_at	V01288					AFFX-YFL039CM_at											
AFFX-YFL039C3_at	V01288					AFFX-YFL039C3_at											
AFFX-YER148w5_at	X16860					AFFX-YER148w5_at											
AFFX-YER148wM_at	X16860					AFFX-YER148wM_at											
AFFX-YER148w3_at	X16860					AFFX-YER148w3_at											
AFFX-YER022w5_at	L12026					AFFX-YER022w5_at											
AFFX-YER022wM_at	L12026					AFFX-YER022wM_at											
AFFX-YER022w3_at	L12026					AFFX-YER022w3_at											
AFFX-18srRnaa_at	Z75578					AFFX-18srRnaa_at											
AFFX-18srRnab_at	Z75578					AFFX-18srRnab_at											
AFFX-18srRnac_at	Z75578					AFFX-18srRnac_at											
AFFX-18srRnad_at	Z75578					AFFX-18srRnad_at											
AFFX-18srRnae_at	Z75578					AFFX-18srRnae_at											
AFFX-25srRnaa_at	Z73326					AFFX-25srRnaa_at											
AFFX-25srRnab_at	Z73326					AFFX-25srRnab_at											
AFFX-25srRnac_at	Z73326					AFFX-25srRnac_at											
AFFX-25srRnad_at	Z73326					AFFX-25srRnad_at											
AFFX-25srRnae_at	Z73326					AFFX-25srRnae_at											
AFFX-YEL002c/WBP1_at	X61388					AFFX-YEL002c/WBP1_at											
AFFX-YEL018w/_at	U18530					AFFX-YEL018w/_at											
AFFX-YEL024w/RIP1_at	M23316					AFFX-YEL024w/RIP1_at											
AFFX-YEL021w/URA3_at	K02207					AFFX-YEL021w/URA3_at											
11378_at						11378_at									ALD1		
11379_at		P39709				11379_at									YAL067C		
11380_at		P39710				11380_at									YAL066W		
11381_at						11381_at									YAL065C		
11382_at		O13512				11382_at									S0002141		
11383_at						11383_at									S0002140		
11384_at						11384_at									YAL064W		
11385_s_at		P39711			Flocculin	11385_s_at			IPR001389	IPB002889					YAL063C		
11386_at		P39708	d1bgva1		GLFV_dehydrog_N	11386_at			IPR006097	IPB001625	1.4.1.4				YAL062W		
11387_at		P39713	d1e3ja2		adh_zinc	11387_at			IPR006025	PR00420	1.2.1.46				YAL061W		
11388_at		P39714				11388_at			IPR002085						YAL060W		
11389_at		P39715				11389_at									YAL059W		
11390_at		P27825	d1jhna1		calreticulin	11390_at			IPR001580	IPB001580					YAL058W		
11391_at						11391_at									YAL058C-A		
11392_at		P39717				11392_at			IPR001798						YAL056W		
11393_at		P39718				11393_at									YAL055W		
11356_at		Q01574	d1amua_		AMP-binding	11356_at			IPR000873	IPB000873	1.13.12.7				YAL054C		
11357_at		P39719				11357_at									S0000049		
11358_at		P39720	d1cld__		Zn_clus	11358_at			IPR002409	IPB001138					YAL051W		
11359_at		P39721	d1ggva_		DLH	11359_at			IPR002925		3.1.1.45				YAL049C		
11360_at		P39722	d1mh1__		efhand	11360_at			IPR005225	IPB001401					YAL048C		
11361_at		P39723				11361_at									S0000045		
11362_at		P39724			BolA	11362_at			IPR002634	IPB002634					YAL046C		
11363_at		P39725				11363_at									YAL045C		
11364_at		P39726	d1htp__		GCV_H	11364_at			IPR002930	IPB001078					YAL044C		
11365_at		Q01329				11365_at									YAL043C		
11366_at						11366_at									YAL043C-A		
11367_at		P39727				11367_at									YAL042W		
11368_at		P11433	d1g5na_		RhoGEF	11368_at			IPR001715	PR01449					YAL041W		
11369_at		P13365	d1vin_1		cyclin	11369_at			IPR004366	IPB000553					YAL040C		
11370_at		P06182			Cyto_heme_lyase	11370_at			IPR000511	IPB000511	4.4.1.17				S0000037		
11371_at		P00549	d1edoa_		PK_C	11371_at			IPR001697	IPB001697	2.7.1.40				YAL038W		
11372_at		P39728				11372_at									YAL037W		
11373_at		P39729	d1egaa1		TGS	11373_at			IPR004095	IPB000765					YAL036C		
11374_at		P39730	d1g7sa1		GTP_EFTU	11374_at			IPR004161	IPB003894	3.4.11.18				YAL035W		
11375_at						11375_at									YAL035C-A		
11376_at		P39731				11376_at									YAL034W-A		
11377_at		P28003				11377_at									YAL034C		
11333_at		P28005			RNase_P_Rpp14	11333_at			IPR002759						YAL033W		
11334_at		P28004			SKIP_SNW	11334_at			IPR004015						YAL032C		
11335_at		P39732				11335_at									YAL031C		
11336_at		P31109			synaptobrevin	11336_at			IPR001388	IPB001388					YAL030W		
11337_at		P31109			synaptobrevin	11337_at			IPR001388	IPB001388					YAL030W		
11338_at		P32492	d1lvk_2		myosin_head	11338_at			IPR004009	PR00193					YAL029C		
11339_at		P39734				11339_at				IPB002889					S0000026		
11340_at		P39735				11340_at									YAL027W		
11341_at		P39524	d1eula_			11341_at			IPR001757	IPB001757	3.6.1.36				YAL026C		
11342_at		P10962				11342_at				IPB000135					YAL025C		
11343_at		P07866			RasGEFN	11343_at			IPR001895	IPB001895					YAL024C		
11344_at		AAC04934			PMT	11344_at			IPR003342	IPB003608	2.4.1.109				YAL023C		
11345_at		P31381			Nucleoside_tran	11345_at			IPR002259	PR01130					YAL022C		
11346_at		P31384	d1dcea3		LRR	11346_at			IPR005135	PR00364					YAL021C		
11347_at		P31386	d1jtdb_			11347_at			IPR000408	IPB000408					YAL020C		
11348_at		P31380			helicase_C	11348_at			IPR001650	IPB002038					YAL019W		
11349_at		P31379				11349_at									S0000016		
11350_at		P31374			pkinase	11350_at			IPR002290	IPB003605					YAL017W	PIM1	
11351_at		P31383			HEAT	11351_at			IPR000357						YAL016W		
11352_at		P31378	d1keaa_		HhH-GPD	11352_at			IPR003265	IPB001502					S0000013		
11353_at		AAC04943				11353_at			IPR001230						YAL014C		
11354_at		P31385				11354_at				IPB000135					S0000011		
11355_at		P31373	d1e5ea_		Cys_Met_Meta_PP	11355_at			IPR000277	IPB000277	2.6.1.9				YAL012W		
11310_at		P31376				11310_at			IPR001917	IPB000135					YAL011W		
11311_at		P18409				11311_at									S0000008		
11312_at		P18410			Spo7	11312_at			IPR005605						YAL009W		
11313_at		P18411				11313_at									YAL008W		
11314_at		P39704			EMP24_GP25L	11314_at			IPR000348	IPB000348					YAL007C		
11315_i_at		P10591	d1ckra_		HSP70	11315_i_at			IPR001023	IPB003494					YAL005C		
11316_r_at		P10591	d1ckra_		HSP70	11316_r_at			IPR001023	IPB003494					YAL005C		
11317_s_at		P10591	d1ckra_		HSP70	11317_s_at			IPR001023	IPB003494					YAL005C		
11318_at		P39703				11318_at									YAL004W		
11319_at		P32471	d1f60b_		EF1BD	11319_at			IPR004046	IPB001326					YAL003W		
11320_at		P32471	d1f60b_		EF1BD	11320_at			IPR004046	IPB001326					YAL003W		
11321_at		P39702			Clathrin	11321_at			IPR001841						YAL002W		
11322_at		P34111			B-block_TFIIIC	11322_at									S0000001		
11323_at		P34111			B-block_TFIIIC	11323_at									YAL001C		
11324_at		P39705				11324_at									YAR002W		
11325_at		Q05359			EMP24_GP25L	11325_at			IPR000348	IPB000348					S0002129		
11326_at		P39706	d1k8kc_		WD40	11326_at			IPR001680						YAR003W		
11327_at		P22336	d1fgua1		tRNA_anti	11327_at			IPR004365						YAR007C		
11328_at		P39707	d1a79a1		tRNA_int_endo	11328_at			IPR002827	IPB002827	3.1.27.9				YAR008W		
11329_at		P27637			SH3	11329_at			IPR001452						YAR014C		
11330_at		P27616	d1a48__		SAICAR_synt	11330_at			IPR001636	IPB001636	6.3.2.6				YAR015W		
11331_at		P22209	d1f3mc_		pkinase	11331_at			IPR002290	IPB000494	2.7.1.38				YAR018C	KIN3	
11332_at		P27636	d1f3mc_		pkinase	11332_at			IPR002290	IPB003605	2.7.1.38				YAR019C	CDC15	
11287_f_at		P39545				11287_f_at			IPR000992	IPB000992					S0000073		
11288_at		P39546			DUP	11288_at			IPR001142	IPB001142					YAR023C		
11289_at		P39547			DUP	11289_at			IPR001142	IPB001142					S0000075		
11290_at		P39548			DUP	11290_at			IPR001142	IPB001142					YAR028W		
11291_at		P39549				11291_at			IPR001142	IPB001142					S0000077		
11292_at		P39550				11292_at									S0001821		
11293_at		P39551			DUP	11293_at			IPR001142	IPB001142					YAR031W		
11294_g_at		P39551			DUP	11294_g_at			IPR001142	IPB001142					YAR031W		
11295_r_at		P39552			DUP	11295_r_at			IPR001142	IPB001142					YAR033W		
11296_s_at		P39552			DUP	11296_s_at			IPR001142	IPB001142					YAR033W		
11297_at		P80235			Carn_acyltransf	11297_at			IPR000542	IPB000542	2.3.1.7				YAR035W		
11298_at						11298_at									YAR042W		
11299_at		P35845			Oxysterol_BP	11299_at			IPR001849	IPB000648					YAR044W		
11300_at		P39557				11300_at									YAR047C		
11301_i_at		P32768			Flocculin	11301_i_at			IPR001389	IPB002889					YAR050W		
11302_at		P39559				11302_at									YAR053W		
11303_s_at		P38895				11303_s_at									S0000086		
11304_at		P39561				11304_at									YAR061W		
11305_s_at		P38896			Flocculin	11305_s_at			IPR001389	IPB001389					YAR062W		
11306_at		P39563				11306_at									YAR064W		
11307_s_at						11307_s_at									YAR066W		
11308_s_at		P39564				11308_s_at									YAR068W		
11309_at		P39565				11309_at									YAR069C		
11261_at		P39566				11261_at									S0000093		
11262_s_at		P35842	d1qfxa_		acid_phosphat	11262_s_at			IPR000560	IPB000560	3.1.3.2				YAR071W		
11263_f_at		P39567				11263_f_at			IPR001093						S0000095		
11264_f_at		O42831	d1huva_		IMPDH	11264_f_at			IPR001093	IPB001093					YAR075W		
11265_i_at		O13588				11265_i_at									S0002143		
11266_f_at		O13588				11266_f_at									S0002143		
11267_at						11267_at									YAL037c-a		
11268_at						11268_at									YAR040c		
11269_at	NC_001133					11269_at											
11270_at	NC_001133					11270_at											
11271_at	NC_001133					11271_at											
11272_at	NC_001133					11272_at											
11273_at	NC_001133					11273_at											
11274_at	NC_001133					11274_at											
11275_at	NC_001133					11275_at											
11276_at	NC_001133					11276_at											
11277_at	NC_001133					11277_at											
11278_f_at	NC_001133					11278_f_at											
11279_s_at	NC_001133					11279_s_at											
11280_at	NC_001133					11280_at											
11281_at	NC_001133					11281_at											
11282_i_at	NC_001133					11282_i_at											
11283_r_at	NC_001133					11283_r_at											
11284_f_at	NC_001133					11284_f_at											
11285_at	NC_001133					11285_at											
11286_at	NC_001133					11286_at											
11238_at	NC_001133					11238_at											
11239_at	NC_001133					11239_at											
11240_s_at	NC_001133					11240_s_at											
11241_at	NC_001133					11241_at											
11242_f_at	NC_001133					11242_f_at											
11243_s_at	NC_001133					11243_s_at											
11244_s_at	NC_001133					11244_s_at											
11245_i_at						11245_i_at									CEN1		
11246_r_at						11246_r_at									S0006463		
11247_s_at		P40889	d1fuka_		helicase_C	11247_s_at			IPR001650	IPB000629	3.2.1.18				S0003760		
11248_s_at		P40889	d1fuka_		helicase_C	11248_s_at			IPR001993	IPB000629	3.2.1.18				YJL225C		
11249_f_at		P38924			SRP1_TIP1	11249_f_at			IPR000992	IPB000992					YJL223C		
11250_s_at		P40890			BNR	11250_s_at			IPR002860	IPB001649					YJL222W		
11251_s_at		P40439	d1uok_2		alpha-amylase	11251_s_at			IPR006047	PR00110	2.4.1.7				S0003757		
11252_s_at		P40891				11252_s_at									YJL220W		
11253_s_at		P40885			sugar_tr	11253_s_at			IPR005829	IPB002897					YJL219W		
11254_at		P40892	d1kk6a_		hexapep	11254_at			IPR001451	IPB001451	2.3.1.79				YJL218W		
11255_at		P40893				11255_at									S0003753		
11256_at		P40884	d5ruba1		alpha-amylase	11256_at			IPR006047	IPB002044	3.2.1.93				YJL216C		
11257_at		P40895				11257_at				IPB001218					S0003751		
11258_at		P40886			sugar_tr	11258_at			IPR005829	IPB003662					YJL214W		
11259_at		P40896				11259_at				IPB003764					S0003749		
11260_at		P40897			OPT	11260_at			IPR004813						YJL212C		
11215_at		P40898				11215_at									YJL211C		
11216_at		P32800				11216_at			IPR001841						YJL210W		
11217_at		P07252				11217_at									S0003745		
11218_at		P08466	d1ql0a_		Endonuclease	11218_at			IPR001604	IPB001604					S0003744		
11219_at		P39526				11219_at			IPR005479						YJL207C		
11220_at		P39529	d1zmec1		Fungal_trans	11220_at			IPR001138	IPB000184					YJL206C		
11221_at						11221_at									YJL206C-A		
11222_at		P39531			F-box	11222_at			IPR001810						YJL204C		
11223_at		P32524			Surp	11223_at			IPR000061	IPB000061					YJL203W		
11224_at		P39532				11224_at									YJL202C		
11225_at		P32525				11225_at			IPR000198						YJL201W		
11226_at		P39533	d7acn_2		aconitase	11226_at			IPR001030	IPB000573	4.2.1.3				YJL200C		
11227_at		P39534				11227_at									YJL199C		
11228_at		P39535			SPX	11228_at			IPR004331	IPB001898					S0003734		
11229_at		P39538			UCH-1	11229_at			IPR001394	IPB001394	2.4.2.29				YJL197W		
11230_at		P39540				11230_at			IPR002076						S0003732		
11231_at		P39541				11231_at									YJL195C		
11232_at		P09119	d1fnna2			11232_at				PR01533					YJL194W		
11233_at		P39542				11233_at			IPR004696						S0003729		
11234_at		P39543				11234_at									S0003728		
11235_at		P39516	d1fjgk_		Ribosomal_S11	11235_at			IPR001971	IPB001971					YJL191W		
11236_at		P04648	d1i6ua_		Ribosomal_S8	11236_at			IPR000630	IPB000630					YJL190C		
11237_at		P04650			Ribosomal_L39	11237_at			IPR000077	IPB000077					YJL189W		
11192_at		O94143				11192_at									S0003724		
11193_at		P32944			pkinase	11193_at			IPR002290	IPB001580					YJL187C	mik1+	
11194_at		P46982				11194_at									YJL186W		
11195_at		P46983				11195_at									S0003721		
11196_at		P46984				11196_at									YJL184W		
11197_at		P46985				11197_at									YJL183W		
11198_at		P46986				11198_at									YJL182C		
11199_at		P46987				11199_at									YJL181W		
11200_at		P22135				11200_at									S0003716		
11201_at		P46988			KE2	11201_at									YJL179W		
11202_at		P46989				11202_at									YJL178C		
11203_i_at		P46990	d1bxea_		Ribosomal_L22	11203_i_at			IPR005721	IPB001063					YJL177W		
11204_s_at		P46990	d1bxea_		Ribosomal_L22	11204_s_at			IPR005721	IPB001063					YJL177W		
11205_i_at		P46990	d1bxea_		Ribosomal_L22	11205_i_at			IPR001063	IPB001063					YJL177W		
11206_f_at		P46990	d1bxea_		Ribosomal_L22	11206_f_at			IPR005721	IPB001063					YJL177W		
11207_at		P32591			myb_DNA-binding	11207_at			IPR001005	IPB000135					YJL176C		
11208_at		P46991				11208_at									YJL175W		
11209_at		P39005				11209_at									YJL174W		
11210_at		P26755				11210_at									S0003709		
11211_at		P27614	d1cg2a1		Peptidase_M20	11211_at			IPR002933	IPB002933	3.5.1.14				YJL172W		
11212_at		P46992				11212_at									S0003707		
11213_at		P46993				11213_at									S0003706		
11214_at		P46994				11214_at									YJL169W		
11170_at		P46995	d1kkea2		SET	11170_at			IPR003616	IPB001202					YJL168C		
11171_at		P08524	d1uby__		polyprenyl_synt	11171_at			IPR000092	IPB000092	2.5.1.30				YJL167W		
11172_at		P08525			UcrQ	11172_at			IPR004205						YJL166W		
11173_at		P38970			pkinase	11173_at			IPR000719	IPB003605					S0003701	Dtrk	
11174_at		P06244	d1fota_		pkinase	11174_at			IPR002290	IPB000403	2.7.1.38				YJL164C	TPK1	
11175_at		P46996				11175_at									S0003699		
11176_at		P46997	d1fpoa1		DnaJ	11176_at			IPR003095	IPB001623					YJL162C		
11177_at		P46998				11177_at									YJL161W		
11178_at		P46999			yeast_PIR	11178_at			IPR000420	IPB000420					S0003696		
11179_at		P32478			yeast_PIR	11179_at			IPR000420	IPB000420					YJL159W		
11180_at		P47001				11180_at			IPR001005	IPB002889					YJL158C		
11181_at		P21268				11181_at			IPR001841						YJL157C		
11182_at		P47002				11182_at									YJL156C		
11183_at		P32604	d1bif_2		PGAM	11183_at			IPR003094	IPB001345	3.1.3.13				YJL155C		
11184_at		P34110			Vps35	11184_at			IPR005378						YJL154C		
11185_at		P11986			Inos-1-P_synth	11185_at			IPR002587	IPB002587	5.5.1.4				YJL153C		
11186_at		P47003				11186_at									YJL152W		
11187_at		P14359			UPF0057	11187_at			IPR000612	IPB000612					YJL151C		
11188_at		P47004				11188_at									S0003686		
11189_at		P47005			F-box	11189_at			IPR001810	IPB001810					YJL149W		
11190_at		P47006				11190_at									YJL148W		
11191_at		P47007				11191_at									YJL147C		
11147_at		P46958				11147_at									S0003682		
11148_at		P47008			CRAL_TRIO_N	11148_at			IPR001251	IPB001251					YJL145W		
11149_at		P47009				11149_at									YJL144W		
11150_at		P39515			Tim17	11150_at			IPR005678	IPB003397					YJL143W		
11151_at		P47010				11151_at									YJL142C		
11152_g_at		P47010				11152_g_at									S0003678		
11153_at		P14680			pkinase	11153_at			IPR000719	IPB000494					YJL141C	YAK1	
11154_at		P20433			RNA_pol_Rpb4	11154_at			IPR005574						YJL140W		
11155_at		P26725			Glyco_transf_15	11155_at			IPR002685	IPB002685	2.4.1.131				YJL139C		
11156_s_at		P10081	d1fuka_		helicase_C	11156_s_at			IPR001410	IPB000330					YJL138C		
11157_at		P47011	d1ga8a_			11157_at				IPB002495	2.4.1.186				YJL137C		
11158_i_at		P05760			Ribosomal_S21e	11158_i_at			IPR001931	IPB001931					YJL136C		
11159_s_at		P05760			Ribosomal_S21e	11159_s_at			IPR001931	IPB001931					YJL136C		
11160_at		P47012				11160_at				IPB002866					S0003671		
11161_at		P47013			PAP2	11161_at			IPR000326		3.1.3.27				YJL134W		
11162_at		P10566			mito_carr	11162_at			IPR001993	IPB001993					YJL133W		
11163_at		P47014				11163_at			IPR000413		3.1.4.50				S0003668		
11164_at		P47015				11164_at									S0003667		
11165_at		P07259	d1a9xa1		OTCace_N	11165_at			IPR006132	IPB001674	6.3.5.5				YJL130C		
11166_at		P12685			TrkH	11166_at			IPR004773	IPB000135					YJL129C		
11167_at		P08018	d1a06__		pkinase	11167_at			IPR000719	IPB003527	2.7.1.38				YJL128C	PBS2	
11168_at		P35208				11168_at			IPR000182	IPB000182					YJL127C		
11169_at		P47016	d1emsa2		CN_hydrolase	11169_at			IPR003010	IPB000132	3.5.1.6				YJL126W		
11124_at		P46959	d1i9ga_			11124_at			IPR000051	IPB001737					YJL125C		
11125_at		P47017	d1i8fa_		Sm	11125_at			IPR001163	IPB001163					YJL124C		
11126_at		P47018				11126_at				IPB001990					YJL123C		
11127_at		P47019				11127_at									YJL122W		
11128_at		P46969	d1e55a_		Ribul_P_3_epim	11128_at			IPR000056	IPB000056	5.1.3.1				YJL121C		
11129_at		P47020				11129_at									YJL120W		
11130_at		P47021				11130_at									YJL119C		
11131_at		P47022				11131_at				IPB000678					YJL118W		
11132_at		P46956				11132_at									YJL117W		
11133_at		P46955			SUN	11133_at			IPR005556						YJL116C		
11134_at		P32447				11134_at				IPB001422					YJL115W		
11135_at		P47025	d1erja_		WD40	11135_at			IPR001680	IPB002551					S0003648		
11136_at		P42943	d1ass__		cpn60_TCP1	11136_at			IPR002423	IPB001844					YJL111W		
11137_at		P42944	d7gata_		GATA	11137_at			IPR000679	IPB000679					YJL110C		
11138_at		P42945				11138_at			IPR000357						YJL109C		
11139_at		P42946				11139_at									YJL108C		
11140_at		P42947				11140_at									S0003643		
11141_at		P32581			pkinase	11141_at			IPR002290	IPB000959					YJL106W	SME1	
11142_at		P42948			SET	11142_at			IPR001214	IPB001214					YJL105W		
11143_at		P42949			UPF0108	11143_at			IPR005341						YJL104W		
11144_at		P42950			Zn_clus	11144_at			IPR001138	IPB001138					YJL103C		
11145_at		P39677	d1dar_2		GTP_EFTU_D2	11145_at			IPR005225	IPB000178					YJL102W		
11146_at		P32477			GCS	11146_at			IPR004308		6.3.2.2				YJL101C		
11102_at		P42951				11102_at									S0003636		
11103_at		P40955				11103_at			IPR001440						S0003635		
11104_at		P40856				11104_at									S0003634		
11105_at		P40857				11105_at									YJL097W		
11106_at		P40858				11106_at				IPB001787					YJL096W		
11107_at		Q01389	d1f3mc_		pkinase	11107_at			IPR002290	IPB003605	2.7.1.38				YJL095W	BCK1	
11108_at		P40309			Na_H_Exchanger	11108_at			IPR006153						YJL094C		
11109_at		P40310				11109_at			IPR003280	PR01333					YJL093C		
11110_at		P12954	d1pjr_1		UvrD-helicase	11110_at			IPR000212	IPB000212					YJL092W		
11111_at		P47026				11111_at									YJL091C		
11112_at		P47027			BRCT	11112_at			IPR001357						YJL090C		
11113_at		P46954	d1pyia1		Zn_clus	11113_at			IPR001138	IPB001138					YJL089W		
11114_at		P05150	d1otha1		OTCace_N	11114_at			IPR006132	IPB002029	2.1.3.3				YJL088W		
11115_at		P09880				11115_at					6.5.1.3				YJL087C		
11116_at		P47028				11116_at									YJL086C		
11117_at		P19658			Exo70	11117_at			IPR004140						YJL085W		
11118_at		P47029				11118_at									S0003620		
11119_at		P47030				11119_at			IPR000261						YJL083W		
11120_at		P47031				11120_at									S0003618		
11121_at		P80428	d1d4xa1		actin	11121_at			IPR004000	IPB003494					YJL081C		
